TradingDate;Open;High;Low;Close;Volume
2020-01-02;96026000;96667000;95967000;96667000;20060000
2020-01-03;96872000;97088000;96514000;96514000;17413000
2020-01-06;96279000;96320000;95559000;95579000;18720000
2020-01-07;95579000;95946000;95319000;95888000;18163000
2020-01-08;95413000;95584000;94528000;94898000;31917000
2020-01-09;95386000;96073000;95216000;96015000;16615000
2020-01-10;96117000;96971000;96117000;96854000;22216000
2020-01-13;96689000;96863000;96479000;96584000;14715000
2020-01-14;96626000;96885000;96576000;96700000;19035000
2020-01-15;96769000;96769000;96484000;96756000;15004000
2020-01-16;96720000;97470000;96717000;97431000;20125000
2020-01-17;97628000;98002000;97379000;97896000;16414000
2020-01-20;97823000;97985000;97593000;97863000;14880000
2020-01-21;97882000;98637000;97882000;98637000;15767000
2020-01-22;98652000;99146000;98392000;99146000;15235000
2020-01-30;97515000;97772000;95400000;95958000;19851000
2020-01-31;95958000;96096000;93662000;93662000;25395000
2020-02-03;91660000;93037000;89185000;92814000;27552000
2020-02-04;92942000;93491000;91933000;92909000;19769000
2020-02-05;93475000;93633000;92189000;92591000;19738000
2020-02-06;92666000;93854000;92521000;93854000;22367000
2020-02-07;93861000;94348000;93594000;94075000;19417000
2020-02-10;93438000;93587000;92661000;93073000;15397000
2020-02-11;93073000;93604000;93073000;93467000;17935000
2020-02-12;94072000;94311000;93734000;93768000;22804000
2020-02-13;93719000;93910000;93447000;93824000;17773000
2020-02-14;93928000;94065000;93647000;93745000;20435000
2020-02-17;93852000;93852000;93166000;93477000;18325000
2020-02-18;93447000;93498000;92601000;92793000;18776000
2020-02-19;92641000;93166000;92586000;92876000;19217000
2020-02-20;93369000;93813000;93041000;93813000;19834000
2020-02-21;93813000;94053000;93232000;93309000;20675000
2020-02-24;91749000;91749000;90334000;90334000;29188000
2020-02-25;89395000;90967000;89395000;90967000;22112000
2020-02-26;90151000;90327000;89425000;89597000;14258000
2020-02-27;89215000;89934000;88914000;89844000;16329000
2020-02-28;88547000;88707000;87246000;88219000;24189000
2020-03-02;87843000;88645000;87731000;88443000;20664000
2020-03-03;89539000;89639000;89006000;89061000;21274000
2020-03-04;88785000;88985000;88283000;88937000;23845000
2020-03-05;89271000;89843000;89120000;89331000;23134000
2020-03-06;88896000;89144000;88271000;89144000;21434000
2020-03-09;87580000;87580000;83467000;83549000;30910000
2020-03-10;81383000;84328000;80663000;83750000;29802000
2020-03-11;84352000;84494000;79454000;81135000;31857000
2020-03-12;77806000;77806000;76212000;76925000;33923000
2020-03-13;75056000;76469000;72342000;76178000;35471000
