Date;Open;High;Low;Close;Vol
2010-01-04;51705000;50174000;51705000;50174000;44920
2010-01-05;53253000;52923000;53939000;52923000;70050
2010-01-06;53446000;52947000;53884000;52637000;67360
2010-01-07;53334000;53678000;54077000;53068000;75680
2010-01-08;52090000;54095000;54449000;52090000;84720
2010-01-11;51506000;52278000;52406000;51215000;44780
2010-01-12;49831000;51124000;51675000;49831000;52740
2010-01-13;50861000;49572000;50861000;48575000;55050
2010-01-14;51233000;51644000;51772000;50925000;36060
2010-01-15;50542000;50919000;51263000;50329000;37130
2010-01-18;48713000;49908000;49924000;48713000;41420
2010-01-19;49551000;48984000;49810000;48977000;33640
2010-01-20;48950000;49873000;49915000;48950000;35900
2010-01-21;47842000;48197000;48947000;47780000;41820
2010-01-22;47759000;47410000;48169000;47185000;30080
2010-01-25;48091000;47675000;48104000;47675000;21330
2010-01-26;49790000;49012000;49790000;49012000;33760
2010-01-27;48641000;49686000;49820000;48641000;33820
2010-01-28;48176000;48467000;48781000;48147000;23070
2010-01-29;48196000;48149000;48415000;47711000;26560
2010-02-01;48695000;48293000;48695000;48184000;23140
2010-02-02;48793000;48962000;49086000;48624000;27410
2010-02-03;49548000;49032000;49585000;49012000;26570
2010-02-04;50383000;49625000;50435000;49602000;36960
2010-02-05;49304000;49567000;50106000;49105000;33690
2010-02-08;49120000;48886000;49165000;48772000;21680
2010-02-09;48289000;48697000;48877000;48238000;25210
2010-02-10;49091000;48686000;49117000;48686000;19690
2010-02-11;49994000;49299000;49997000;49186000;21910
2010-02-12;50700000;50534000;50872000;50478000;23330
2010-02-22;51002000;51319000;51319000;50793000;21170
2010-02-23;49629000;50452000;50452000;49629000;27080
2010-02-24;49459000;49289000;49485000;49021000;27430
2010-02-25;49499000;49750000;50024000;49373000;28380
2010-02-26;49691000;49431000;49691000;49197000;39280
2010-03-01;50301000;50257000;50534000;50243000;35080
2010-03-02;50100000;50398000;50559000;50008000;43300
2010-03-03;50732000;50504000;50732000;50196000;37830
2010-03-04;51191000;51093000;51677000;51093000;50960
2010-03-05;51339000;51272000;51447000;50961000;45560
2010-03-08;52112000;51700000;52283000;51700000;55970
2010-03-09;52727000;52075000;52730000;52013000;62410
2010-03-10;52567000;52628000;52963000;52281000;57900
2010-03-11;52464000;52693000;52953000;52437000;52450
2010-03-12;53151000;52890000;53151000;52670000;55970
2010-03-15;53186000;53801000;53801000;53155000;56570
2010-03-16;51608000;52606000;52955000;51608000;67290
2010-03-17;51085000;51990000;52014000;51085000;51320
2010-03-18;51973000;51524000;51973000;51047000;46310
2010-03-19;51599000;52014000;52122000;51599000;54360
2010-03-22;51158000;51571000;51779000;51158000;42560
2010-03-23;50653000;51221000;51307000;50653000;45890
2010-03-24;51212000;51105000;51287000;50875000;46050
2010-03-25;50339000;50785000;50883000;50216000;52070
2010-03-26;50530000;50551000;50640000;50164000;63120
2010-03-29;50567000;50670000;50915000;50405000;37750
2010-03-30;50072000;50471000;50629000;50072000;59880
2010-03-31;49924000;50185000;50400000;49924000;52760
2010-04-01;50818000;50031000;50891000;49999000;53670
2010-04-02;51048000;51038000;51310000;50854000;43470
2010-04-05;51479000;51417000;51627000;51345000;44730
2010-04-06;51533000;51748000;52031000;51533000;68800
2010-04-07;51582000;51621000;51726000;51254000;51480
2010-04-08;51593000;51572000;51940000;51474000;55890
2010-04-09;51742000;51706000;51961000;51640000;63630
2010-04-12;51993000;52212000;52316000;51950000;54420
2010-04-13;51798000;52104000;52323000;51798000;53750
2010-04-14;51621000;51857000;51874000;51581000;45150
2010-04-15;52149000;52101000;52149000;51839000;53710
2010-04-16;52203000;52372000;52399000;52153000;63130
