Date;Open;High;Low;Price;Vol.
2010-04-01;501.74;517.05;501.74;517.05;44.92K
2010-05-01;529.23;539.39;529.23;532.53;70.05K
2010-06-01;529.47;538.84;526.37;534.46;67.36K
2010-07-01;536.78;540.77;530.68;533.34;75.68K
2010-08-01;540.95;544.49;520.9;520.9;84.72K
2010-11-01;522.78;524.06;512.15;515.06;44.78K
2010-12-01;511.24;516.75;498.31;498.31;52.74K
1/13/2010;495.72;508.61;485.75;508.61;55.05K
1/14/2010;516.44;517.72;509.25;512.33;36.06K
1/15/2010;509.19;512.63;503.29;505.42;37.13K
1/18/2010;499.08;499.24;487.13;487.13;41.42K
1/19/2010;489.84;498.1;489.77;495.51;33.64K
1/20/2010;498.73;499.15;489.5;489.5;35.90K
1/21/2010;481.97;489.47;477.8;478.42;41.82K
1/22/2010;474.1;481.69;471.85;477.59;30.08K
1/25/2010;476.75;481.04;476.75;480.91;21.33K
1/26/2010;490.12;497.9;490.12;497.9;33.76K
1/27/2010;496.86;498.2;486.41;486.41;33.82K
1/28/2010;484.67;487.81;481.47;481.76;23.07K
1/29/2010;481.49;484.15;477.11;481.96;26.56K
2010-01-02;482.93;486.95;481.84;486.95;23.14K
2010-02-02;489.62;490.86;486.24;487.93;27.41K
2010-03-02;490.32;495.85;490.12;495.48;26.57K
2010-04-02;496.25;504.35;496.02;503.83;36.96K
2010-05-02;495.67;501.06;491.05;493.04;33.69K
2010-08-02;488.86;491.65;487.72;491.2;21.68K
2010-09-02;486.97;488.77;482.38;482.89;25.21K
2010-10-02;486.86;491.17;486.86;490.91;19.69K
2010-11-02;492.99;499.97;491.86;499.94;21.91K
2010-12-02;505.34;508.72;504.78;507;23.33K
2/22/2010;513.19;513.19;507.93;510.02;21.17K
2/23/2010;504.52;504.52;496.29;496.29;27.08K
2/24/2010;492.89;494.85;490.21;494.59;27.43K
2/25/2010;497.5;500.24;493.73;494.99;28.38K
2/26/2010;494.31;496.91;491.97;496.91;39.28K
2010-01-03;502.57;505.34;502.43;503.01;35.08K
2010-02-03;503.98;505.59;500.08;501;43.30K
2010-03-03;505.04;507.32;501.96;507.32;37.83K
2010-04-03;510.93;516.77;510.93;511.91;50.96K
2010-05-03;512.72;514.47;509.61;513.39;45.56K
2010-08-03;517;522.83;517;521.12;55.97K
2010-09-03;520.75;527.3;520.13;527.27;62.41K
2010-10-03;526.28;529.63;522.81;525.67;57.90K
2010-11-03;526.93;529.53;524.37;524.64;52.45K
2010-12-03;528.9;531.51;526.7;531.51;55.97K
3/15/2010;538.01;538.01;531.55;531.86;56.57K
