Date,Open,High,Low,Close,Vol
1/4/2010,51705000,50174000,51705000,50174000,44920
1/5/2010,53253000,52923000,53939000,52923000,70050
1/6/2010,53446000,52947000,53884000,52637000,67360
1/7/2010,53334000,53678000,54077000,53068000,75680
1/8/2010,52090000,54095000,54449000,52090000,84720
1/11/2010,51506000,52278000,52406000,51215000,44780
1/12/2010,49831000,51124000,51675000,49831000,52740
1/13/2010,50861000,49572000,50861000,48575000,55050
1/14/2010,51233000,51644000,51772000,50925000,36060
1/15/2010,50542000,50919000,51263000,50329000,37130
1/18/2010,48713000,49908000,49924000,48713000,41420
1/19/2010,49551000,48984000,49810000,48977000,33640
1/20/2010,48950000,49873000,49915000,48950000,35900
1/21/2010,47842000,48197000,48947000,47780000,41820
1/22/2010,47759000,47410000,48169000,47185000,30080
1/25/2010,48091000,47675000,48104000,47675000,21330
1/26/2010,49790000,49012000,49790000,49012000,33760
1/27/2010,48641000,49686000,49820000,48641000,33820
1/28/2010,48176000,48467000,48781000,48147000,23070
1/29/2010,48196000,48149000,48415000,47711000,26560
2/1/2010,48695000,48293000,48695000,48184000,23140
2/2/2010,48793000,48962000,49086000,48624000,27410
2/3/2010,49548000,49032000,49585000,49012000,26570
2/4/2010,50383000,49625000,50435000,49602000,36960
2/5/2010,49304000,49567000,50106000,49105000,33690
2/8/2010,49120000,48886000,49165000,48772000,21680
2/9/2010,48289000,48697000,48877000,48238000,25210
2/10/2010,49091000,48686000,49117000,48686000,19690
2/11/2010,49994000,49299000,49997000,49186000,21910
2/12/2010,50700000,50534000,50872000,50478000,23330
2/22/2010,51002000,51319000,51319000,50793000,21170
2/23/2010,49629000,50452000,50452000,49629000,27080
2/24/2010,49459000,49289000,49485000,49021000,27430
2/25/2010,49499000,49750000,50024000,49373000,28380
2/26/2010,49691000,49431000,49691000,49197000,39280
3/1/2010,50301000,50257000,50534000,50243000,35080
3/2/2010,50100000,50398000,50559000,50008000,43300
3/3/2010,50732000,50504000,50732000,50196000,37830
3/4/2010,51191000,51093000,51677000,51093000,50960
3/5/2010,51339000,51272000,51447000,50961000,45560
3/8/2010,52112000,51700000,52283000,51700000,55970
3/9/2010,52727000,52075000,52730000,52013000,62410
3/10/2010,52567000,52628000,52963000,52281000,57900
3/11/2010,52464000,52693000,52953000,52437000,52450
3/12/2010,53151000,52890000,53151000,52670000,55970
3/15/2010,53186000,53801000,53801000,53155000,56570
3/16/2010,51608000,52606000,52955000,51608000,67290
3/17/2010,51085000,51990000,52014000,51085000,51320
3/18/2010,51973000,51524000,51973000,51047000,46310
3/19/2010,51599000,52014000,52122000,51599000,54360
3/22/2010,51158000,51571000,51779000,51158000,42560
3/23/2010,50653000,51221000,51307000,50653000,45890
3/24/2010,51212000,51105000,51287000,50875000,46050
3/25/2010,50339000,50785000,50883000,50216000,52070
3/26/2010,50530000,50551000,50640000,50164000,63120
3/29/2010,50567000,50670000,50915000,50405000,37750
