Date,Open,High,Low,Close,Vol
1/2/2020,96026000,96667000,95967000,96667000,20060000
1/3/2020,96872000,97088000,96514000,96514000,17413000
1/6/2020,96279000,9632000,95559000,95579000,18720000
1/7/2020,95579000,95946000,95319000,95888000,18163000
1/8/2020,95413000,95584000,94528000,94898000,31917000
1/9/2020,95386000,96073000,95216000,96015000,16615000
1/10/2020,96117000,96971000,96117000,96854000,22216000
1/13/2020,96689000,96863000,96479000,96584000,14715000
1/14/2020,96626000,96885000,96576000,96700000,19035000
1/15/2020,96769000,96769000,96484000,96756000,15004000
1/16/2020,9672000,9747000,96717000,97431000,20125000
1/17/2020,97628000,98002000,97379000,97896000,16414000
1/20/2020,97823000,97985000,97593000,97863000,14880000
1/21/2020,97882000,98637000,97882000,98637000,15767000
1/22/2020,98652000,99146000,98392000,99146000,15235000
1/30/2020,97515000,97772000,954000,95958000,19851000
1/31/2020,95958000,96096000,93662000,93662000,25395000
2/3/2020,9166000,93037000,89185000,92814000,27552000
2/4/2020,92942000,93491000,91933000,92909000,19769000
2/5/2020,93475000,93633000,92189000,92591000,19738000
2/6/2020,92666000,93854000,92521000,93854000,22367000
2/7/2020,93861000,94348000,93594000,94075000,19417000
2/10/2020,93438000,93587000,92661000,93073000,15397000
2/11/2020,93073000,93604000,93073000,93467000,17935000
2/12/2020,94072000,94311000,93734000,93768000,22804000
2/13/2020,93719000,9391000,93447000,93824000,17773000
2/14/2020,93928000,94065000,93647000,93745000,20435000
2/17/2020,93852000,93852000,93166000,93477000,18325000
2/18/2020,93447000,93498000,92601000,92793000,18776000
2/19/2020,92641000,93166000,92586000,92876000,19217000
2/20/2020,93369000,93813000,93041000,93813000,19834000
2/21/2020,93813000,94053000,93232000,93309000,20675000
2/24/2020,91749000,91749000,90334000,90334000,29188000
2/25/2020,89395000,90967000,89395000,90967000,22112000
2/26/2020,90151000,90327000,89425000,89597000,14258000
2/27/2020,89215000,89934000,88914000,89844000,16329000
2/28/2020,88547000,88707000,87246000,88219000,24189000
3/2/2020,87843000,88645000,87731000,88443000,20664000
3/3/2020,89539000,89639000,89006000,89061000,21274000
3/4/2020,88785000,88985000,88283000,88937000,23845000
3/5/2020,89271000,89843000,8912000,89331000,23134000
3/6/2020,88896000,89144000,88271000,89144000,21434000
3/9/2020,8758000,8758000,83467000,83549000,30910000
